date,hour,temperature_c,humidity_percent,wind_speed_ms,wind_speed_kmh,visibility_km,dew_point_temperature_c,solar_radiation_mj_m2,rainfall_mm,snowfall_cm,rented_bike_count,seasons,holiday,functioning_day,data_source
14/02/2025,10,10.259308078042029,65.04343571262118,4.521853663378158,16.3,16.2,3.267995220566264,1.905255888325765,0,0,73,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,11,9.663654583394617,66.83807052776355,1.1357889242932182,4.1,21,3.0312686889473266,2.1250368178359507,0,0,81,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,12,9.159296016516933,49.65809290481317,4.418565304117847,15.9,18.2,-0.909085402520434,2.2,0,0,125,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,13,4.315985122279947,89.35482126121877,2.3509473995366994,8.5,19.2,2.186949374523701,2.1250368178359507,0,0,107,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,14,1.093987608909294,75.76334585456411,4.615159581410559,16.6,12,-3.753343220177885,1.9052558883257653,0,0,146,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,15,4.609423882303139,80.62946877791778,6.358531518470416,22.9,13.4,0.7353176378866944,1.5556349186104048,0,0,42,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,16,3.7378993569777834,61.276014919113784,4.6105011943683945,16.6,12,-4.00689765919946,1.0999999999999999,0,0,36,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,17,2.554181723656567,64.59730209627075,2.1694657062451066,7.8,17.9,-4.526357857089282,0.5694018992255463,0,0,325,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,18,-0.6474407831967395,41.65208880753817,0.4368572462864009,1.6,12.5,-12.317023021689105,2.6942229581241775e-16,1,0,301,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,19,5.385275661003031,77.689641796981,4.672169323778413,16.8,17.4,0.92320402039923,0,1,0,290,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,20,2.2105865499541975,68.61838545358539,6.041147776370057,21.7,13.4,-4.065736359328724,0,0,0,29,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,21,2.708804317858395,62.62099086462807,6.487651917598166,23.4,17.2,-4.766997509215992,0,0,1,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,22,-0.32670484432292213,58.30435347129147,6.418002502554868,23.1,11.9,-8.665834150064628,0,0,0,50,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,23,3.3734890104983304,60.682012113032016,2.104208976795023,7.6,20.9,-4.490108566895266,0,1,0,40,Winter,No Holiday,Yes,Generated Seoul Data
15/02/2025,0,4.284975461102665,58.7330448952883,2.62089186302329,9.4,16.6,-3.9684155598396753,0,1,0,3,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,1,6.661081624225669,67.53521113341375,1.9819077672877485,7.1,19.8,0.16812385090841975,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,2,7.873000615479082,66.87964673210426,3.1569676596284117,11.4,15.2,1.2489299618999343,0,1,1,0,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,3,8.463380425163065,49.256733154745405,3.8212983787852455,13.8,13.3,-1.6852729438878544,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,4,7.440319808722894,63.918322267389165,5.245896517198634,18.9,13,0.22398426220072665,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,5,6.744351512357191,61.36606933367941,4.304567788963613,15.5,18.6,-0.9824346209069263,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,6,9.016808494999282,65.53325097874355,5.940312831015321,21.4,15.6,2.1234586907479924,0,1,0,79,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,7,7.6890843877273864,87.70355990860048,5.022370049846713,18.1,18.9,5.229796369447483,0.5694018992255456,0,0,266,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,8,7.134937737110821,55.32441277415412,2.9888044440449617,10.8,14.5,-1.800179708058355,1.0999999999999999,0,0,259,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,9,8.70350649524925,70.81960637424338,5.310182019480427,19.1,19,2.867427770097926,1.5556349186104046,0,1,238,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,10,7.714238440794686,70.90170592693903,3.5978277812539807,13,13.5,1.8945796261824919,1.905255888325765,0,0,96,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,11,6.229763049192683,77.75491248658469,3.993436063048004,14.4,11.4,1.7807455465096202,2.1250368178359507,0,0,90,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,12,6.392585628001578,74.99757609385257,5.308305803464034,19.1,14.9,1.3921008467720926,2.2,1,0,129,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,13,0.26745117416186215,49.868530434297774,6.392415255669107,23,12.8,-9.758842738978583,2.1250368178359507,1,1,72,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,14,5.145989252732537,76.52560997586019,1.6990801509761924,6.1,13.8,0.451111247904576,1.9052558883257653,0,0,160,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,15,-1.4305872478029409,45.86704818933245,4.713372817460016,17,12.9,-12.257177609936452,1.5556349186104048,1,0,72,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,16,1.4511715703915706,51.065798727201475,2.6814561692421144,9.7,11.4,-8.335668684168134,1.0999999999999999,0,0,79,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,17,0.03898214771907593,75.32822149793489,2.253490878856352,8.1,13.8,-4.895373552693946,0.5694018992255463,1,0,336,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,18,4.478953009459591,67.41056296997264,0.9154513199063552,3.3,11.2,-2.03893439654588,2.6942229581241775e-16,0,0,338,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,19,0.35860934346120543,57.54979919873702,4.670450398422502,16.8,17.8,-8.13143081679139,0,0,0,334,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,20,4.509084361502858,62.87608904253712,2.7838949449644184,10,14.7,-2.9156978299897185,0,0,0,115,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,21,4.0665784619934175,82.56584826734708,6.4937435488220885,23.4,14.8,0.5797481154628334,0,0,0,15,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,22,2.7517918475704195,70.61636971770832,2.440135369965806,8.8,13.6,-3.124934208887916,0,0,0,63,Winter,Holiday,Yes,Generated Seoul Data
15/02/2025,23,5.1271613840174535,62.12945828293425,0.8163741247042848,2.9,15.5,-2.446946959395696,0,0,0,89,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,0,3.245794689530422,76.90804649107767,3.041971494859666,11,13.2,-1.3725960122540437,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,1,4.301360998272152,64.4704735698789,3.600606416473972,13,19.4,-2.8045442877520674,0,0,0,0,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,2,11.12686787832726,59.00319223818596,0.5873681847019352,2.1,14.4,2.927506325964453,0,0,0,17,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,3,5.10053838846013,57.221052324201516,4.897547857546414,17.6,18.4,-3.455251146699567,0,1,0,0,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,4,8.25018899617397,56.93562162771425,2.8981479915237784,10.4,16.2,-0.3626866782831808,0,1,0,8,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,5,8.515675804703928,50.5576130114828,5.448485796524134,19.6,17.7,-1.3728015929995117,0,1,0,0,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,6,12.56270417713724,55.825541305177126,3.7128860916042417,13.4,12.2,3.7278124381726645,0,0,0,82,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,7,8.695778935772372,44.97915160853149,4.122863283089893,14.8,15.7,-2.308390742521331,0.5694018992255456,0,0,255,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,8,10.353415587662202,68.01454412588716,2.6420951593343807,9.5,11.7,3.956324412839633,1.0999999999999999,0,0,270,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,9,8.606084711634253,61.60434829197792,4.562257772986586,16.4,14.7,0.9269543700298373,1.5556349186104046,0,0,251,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,10,7.453316976352613,66.10655670642001,4.218138168314359,15.2,14.5,0.674628317636615,1.905255888325765,1,0,91,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,11,12.30004208951237,47.80132030217649,3.478709877674677,12.5,13.4,1.860306149947668,2.1250368178359507,0,0,106,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,12,0.7197671376542853,62.56892371521726,3.1518730124048604,11.3,15.3,-6.766448119302263,2.2,0,0,151,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,13,4.353223370301111,73.80215828438153,4.5511416500482715,16.4,9.9,-0.8863449728225818,2.1250368178359507,0,0,121,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,14,4.022280076194585,69.22045981473376,2.9885806233176475,10.8,15.1,-2.1336279608586635,1.9052558883257653,0,0,163,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,15,3.4087837947162516,73.86266945739132,1.7736050979011142,6.4,18.8,-1.8186823138054846,1.5556349186104048,0,0,81,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,16,2.4820797339879994,67.49230130277124,5.807503470714291,20.9,8.2,-4.019460005457752,1.0999999999999999,2,0,73,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,17,2.945606877908591,60.26182766769769,5.684595195566267,20.5,16.4,-5.002027588551871,0.5694018992255463,0,0,308,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,18,1.2626607434867119,82.75205038120288,2.3884296698407876,8.6,17.3,-2.1869291802727124,2.6942229581241775e-16,0,0,324,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,19,4.008293949950064,69.36974399956614,4.132827812294519,14.9,18.6,-2.117757250136709,0,0,0,349,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,20,0.0663331871669941,71.02367258686529,3.3202450107593102,12,14.4,-5.728932295459948,0,0,0,51,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,21,4.4957270908172235,69.64332510707644,2.558392569889493,9.2,18.9,-1.5756078877674895,0,0,0,48,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,22,4.855142142186042,53.42860068596714,1.9072042187091918,6.9,10.4,-4.45913772062053,0,1,0,60,Winter,Holiday,Yes,Generated Seoul Data
16/02/2025,23,1.2818654880142253,68.19140999509054,4.934571537791756,17.8,15.6,-5.079852512967667,0,0,0,76,Winter,Holiday,Yes,Generated Seoul Data
17/02/2025,0,6.9617141696796905,82.54717929563824,5.451990751871806,19.6,12.3,3.4711500288073394,0,2,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,1,7.53910185764277,71.37152602549949,3.6186078228309992,13,19.4,1.8134070627426677,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,2,11.491531755261544,65.5748205509879,5.989094176099293,21.6,12.6,4.606495865459123,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,3,10.558117859048625,52.802224322418724,4.887491200050954,17.6,15.4,1.1185627235323707,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,4,3.440802490772226,73.95478176742542,0.883281328004907,3.2,14.3,-1.7682411557426905,0,1,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,5,13.456710721257423,75.05065886819389,3.777522554316738,13.6,12.8,8.466842494896202,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,6,12.29302111885173,50.532397523967184,2.2056846208105347,7.9,12.2,2.3995006236451673,0,0,0,86,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,7,9.91080202530929,58.1605873138814,0.5471075348753631,2,12.1,1.5429194880855697,0.5694018992255456,2,0,215,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,8,7.705834576524007,63.13807024550859,5.754692884442112,20.7,11.6,0.3334486256257243,1.0999999999999999,0,0,249,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,9,10.864596605633949,63.185801497051685,5.710626916667763,20.6,16.9,3.501756905044286,1.5556349186104046,1,0,224,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,10,9.42754405017358,62.04039670461548,5.260219928933836,18.9,19.7,1.8356233910966768,1.905255888325765,0,0,52,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,11,8.949236511397848,76.00442631338358,3.626300936711367,13.1,11.5,4.150121774074563,2.1250368178359507,0,0,81,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,12,6.237074745653084,67.25709131487088,4.213465121492814,15.2,14.3,-0.31150699137274085,2.2,0,0,127,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,13,4.313883341119203,68.03968810372523,3.7439674659894076,13.5,9.8,-2.078179038135752,2.1250368178359507,0,0,117,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,14,3.169819098315979,61.154662110971394,5.024489058658531,18.1,12.8,-4.599248479489742,1.9052558883257653,1,0,143,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,15,5.297142312869418,55.57158517968268,2.4721237875028486,8.9,10.3,-3.5885406511940463,1.5556349186104048,0,1,50,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,16,1.3430548336420567,72.90969112277739,4.495389676666134,16.2,21.9,-4.0750069418024655,1.0999999999999999,0,0,64,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,17,-2.765075387036259,49.14236114835214,5.94887197767154,21.4,14,-12.93660315736583,0.5694018992255463,1,0,296,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,18,3.523984812633444,70.8420953182796,3.5916366574428737,12.9,15.9,-2.3075961237106353,2.6942229581241775e-16,1,0,317,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,19,5.56817596261519,73.98699039246539,3.681079098967747,13.3,20.4,0.3655740411082675,0,0,0,318,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,20,0.006911325289948422,74.26970595426499,6.002826046758921,21.6,13.1,-5.1391474838570534,0,0,1,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,21,-0.6002979043476322,90,3.7299304387552996,13.4,19.1,-2.600297904347632,0,2,0,0,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,22,4.656149282158026,52.78139109603193,0,0,19.1,-4.787572498635587,0,0,0,53,Winter,No Holiday,Yes,Generated Seoul Data
17/02/2025,23,1.9149707422511089,49.597079436674605,1.1717870923511287,4.2,16.9,-8.16561337041397,0,1,0,62,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,0,7.784621393422707,59.62137385633024,4.543107851428342,16.4,14.3,-0.2911038353112456,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,1,11.173832644306636,51.17979652363511,4.846031573974715,17.4,14.4,1.4097919490336572,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,2,10.158715926834372,70.45669133187099,0.2908817747510737,1,12.7,4.250054193208569,0,0,0,40,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,3,6.5800140450448605,64.02141336223241,1.871635095530655,6.7,13.3,-0.6157032825086581,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,4,10.69500891582905,60.568466939340745,4.244160993263442,15.3,15.6,2.8087023036971983,0,0,0,15,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,5,8.229653888421591,66.42817765719619,3.062399599578812,11,20.1,1.5152894198608289,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,6,12.232926284574646,74.71219981829118,4.094928400337528,14.7,16.9,7.175366248232882,0,0,0,93,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,7,9.256538823980858,68.4135270773769,3.517058952564351,12.7,11.3,2.9392442394562375,0.5694018992255456,1,1,222,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,8,10.659561491093168,37.86439014354102,3.77952134654735,13.6,16.6,-1.767560480198627,1.0999999999999999,1,0,221,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,9,10.776310069768803,70.15062732382036,3.7208152392489158,13.4,14.8,4.806435534532874,1.5556349186104046,0,0,284,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,10,7.55813185963339,51.39032451642326,3.7079205877297183,13.3,13,-2.1638032370819573,1.905255888325765,0,0,90,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,11,4.872343041626419,71.97963040300722,1.8433833647440827,6.6,16,-0.7317308777721374,2.1250368178359507,1,0,47,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,12,0.47573668703213734,72.32621155208679,2.0189476276157894,7.3,14.2,-5.059021002550505,2.2,0,0,134,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,13,3.9101126890903335,61.45066689216122,2.878964148980063,10.4,14.9,-3.799753932477422,2.1250368178359507,1,0,120,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,14,5.31029648877399,42.573916519621534,4.047992806613899,14.6,14.9,-6.174920207301702,1.9052558883257653,0,0,101,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,15,4.985434042994638,71.79126016532568,4.42637137004904,15.9,11.3,-0.6563139239402256,1.5556349186104048,1,0,74,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,16,0.3354566847667897,81.09841319849144,3.065617710284278,11,14.5,-3.4448606755349216,1.0999999999999999,2,0,59,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,17,2.1496625022146483,43.12761484683254,5.6135333242261805,20.2,15.3,-9.224814528418843,0.5694018992255463,0,0,318,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,18,-1.8210421467191518,54.44226726753343,3.047332150827636,11,11.5,-10.932588693212466,2.6942229581241775e-16,1,0,325,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,19,0.9489458938781046,44.82725222774107,2.9659783555555133,10.7,14.6,-10.085603660573682,0,0,0,317,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,20,4.3817011485059485,81.60791264572525,4.309990236505373,15.5,10.8,0.7032836776509983,0,0,0,25,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,21,3.2535585394754185,69.2558234048401,4.237759838629231,15.3,18,-2.895276779556561,0,0,0,4,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,22,4.804069330218095,57.58635478957994,3.108505686028932,11.2,14,-3.678659711865917,0,0,0,77,Winter,No Holiday,Yes,Generated Seoul Data
18/02/2025,23,5.466465262751273,56.779939398730264,4.5547575685829385,16.4,17.3,-3.1775468575026746,0,1,0,55,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,0,6.479294378575977,62.035674612069265,0,0,10.9,-1.11357069901017,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,1,11.574756383839986,61.20833438365229,3.3016262427803187,11.9,14.8,3.8164232605704447,0,0,0,55,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,2,7.883292194746559,84.85488896202811,2.5482996132411095,9.2,13.9,4.854269987152182,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,3,13.305380321507807,52.01297426810994,3.2416506527985085,11.7,12.2,3.7079751751297945,0,1,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,4,12.331868105774042,50.51570233414125,3.0231505323956265,10.9,11.5,2.4350085726022925,0,1,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,5,7.287707675877414,68.82967066158767,2.9583889526620792,10.7,15.5,1.0536418081949481,0,1,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,6,9.958930261343403,57.88488219418905,3.007124400556384,10.8,10.8,1.5359067001812132,0,0,1,51,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,7,5.386154349892047,51.787050281340214,1.120288461405297,4,17.2,-4.25643559383991,0.5694018992255456,0,0,267,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,8,12.44246682933135,61.27996109814411,2.856518469276116,10.3,18.7,4.6984590489601725,1.0999999999999999,2,0,248,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,9,13.161849791456746,69.85243394995598,1.0110481713904318,3.6,17.5,7.132336581447942,1.5556349186104046,0,0,267,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,10,10.806751361752994,88.31840347585849,4.916934543996017,17.7,15.1,8.470432056924691,1.905255888325765,0,1,34,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,11,8.581925014358069,39.43988927249974,3.7205109567377352,13.4,11.4,-3.530097131141984,2.1250368178359507,2,1,28,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,12,4.039869275125148,63.1817493588498,4.247313559915778,15.3,14.2,-3.323780853104892,2.2,0,0,113,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,13,6.357140930472003,45.17900668057418,3.256301616266307,11.7,12.9,-4.607057733413161,2.1250368178359507,0,0,133,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,14,7.065023184764781,40.23389795880779,4.81274090704851,17.3,16.7,-4.888197223473661,1.9052558883257653,1,0,102,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,15,5.090606711417868,45.25869397299554,4.206095231771123,15.1,13.6,-5.857654493983025,1.5556349186104048,0,0,42,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,16,1.090866462561609,68.82795551562546,1.4831115997691438,5.3,15.8,-5.143542434313299,1.0999999999999999,0,0,77,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,17,1.1825736209509259,85.30436253902099,5.994692534928929,21.6,8,-1.756553871244877,0.5694018992255463,0,0,284,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,18,0.9855911402481765,67.57542023264227,3.3410389732914907,12,17.5,-5.499324813223369,2.6942229581241775e-16,1,0,303,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,19,3.5558319827089346,69.99659869120282,2.1319048314281894,7.7,16,-2.4448482790505017,0,0,0,299,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,20,7.943680636600078,70.59925927249824,0.18824098709650094,0.7,17,2.0635324910997266,0,0,0,42,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,21,4.472702455950504,52.76744758560325,3.8333444832398533,13.8,17.5,-4.973808026928847,0,0,1,31,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,22,5.903810661905455,72.77600595712852,4.239214375028334,15.3,13.7,0.4590118533311589,0,2,0,0,Winter,No Holiday,Yes,Generated Seoul Data
19/02/2025,23,5.12067600899314,65.67350585098208,3.4127374716415013,12.3,11.5,-1.7446228208104433,0,0,1,56,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,0,8.131806504160602,79.5163446767209,2.4924000909768873,9,17.6,4.035075439504784,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,1,4.81304563763969,80.56096815237532,0,0,10.3,0.9252392681147548,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,2,7.457948167452441,89.57969094623166,4.306224944888551,15.5,15.9,5.373886356698774,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,3,6.666761348488693,78.75866696914011,4.280376300926308,15.4,11.2,2.4184947423167147,0,1,1,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,4,12.901146563329753,53.75910155640648,7.399151226515672,26.6,14.5,3.6529668746110495,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,5,10.836765374885031,60.43496075972896,3.531984434042365,12.7,10.1,2.9237575268308227,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,6,11.682797064349675,54.87318545966711,6.341625484703869,22.8,11.5,2.657434156283097,0,0,2,4,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,7,12.955960026210349,51.98941831940717,3.9307671706503,14.2,15.4,3.3538436900917823,0.5694018992255456,0,0,266,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,8,5.453176244058897,68.36326970537155,3.31417091387362,11.9,15,-0.8741698148667929,1.0999999999999999,0,0,263,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,9,8.21705618702031,59.98047475935301,4.2524662747585005,15.3,12.4,0.21315113889091108,1.5556349186104046,0,0,258,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,10,6.963293896835911,58.52521227159671,3.0350854703857966,10.9,10.3,-1.3316636488447475,1.905255888325765,3,0,38,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,11,6.218108580724933,82.65823911953113,3.965857808911336,14.3,20.9,2.7497564046311593,2.1250368178359507,0,1,27,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,12,6.1144483897891595,69.61565887488781,1.0905587161664445,3.9,14.5,0.03758016476672221,2.2,0,0,140,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,13,9.976143670810025,65.39704275726176,6.060583968591523,21.8,17.1,3.055552222262376,2.1250368178359507,0,0,120,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,14,4.420179462493154,60.232368034851184,3.625179399381235,13.1,14.3,-3.5333469305366094,1.9052558883257653,1,0,145,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,15,5.726522923464428,36.85651232792239,2.6742271058547185,9.6,11.9,-6.902174610951095,1.5556349186104048,0,1,0,Winter,No Holiday,Yes,Generated Seoul Data
20/02/2025,16,2.0016407214461283,54.71237839502205,1.5176032203570653,5.5,14.7,-7.055883599549462,1.0999999999999999,0,0,77,Winter,No Holiday,Yes,Generated Seoul Data
